gene,cell
CDW199,Tmem
CD200,"thymo, endoth, B, Tact"
CD203C,"basophils, mast, megakaryocytes"
CD204,mac
CD205,DC
CD206,"DCsub, mac, mono"
CD207,macrolang
CD208,"DCact, DCsub"
CD209,DCsub
CDW210,"T, B, NK, mono, mac"
CD212,"Tact, NK"
CD213A1,"B, mono, fibroblast, endoth"
CD213A2,"B, mono"
CDW218A,"T, NK, DCs"
CDW218B,"T, NK, DCs"
CD223,"Tact, NK"
CD226,"T, NK, mono, platelets"
CD227,"epith, DCfol, mono, Bsub"
CD229,"T, B"
CD233,erythrocytes
CD234,erythrocytes
CD235A,erythrocytes
CD235AB,erythrocytes
CD235B,erythrocytes
CD236,erythrocytes
CD236R,erythrocytes
CD238,erythrocytes
CD239,erythrocytes
CD240CE,erythrocytes
CD240D,erythrocytes
CD241,erythrocytes
CD242,erythrocytes
CD244,"Tsub, mono, basophils, NK"
CD245,Tsub
CD247,"T, NK"
CD252,Bact
CD256,"mono, mac"
CD257,monoact
CD258,"Tact, DCpre"
CD267,"B, Tact"
CD268,B
CD269,Bmat
CD272,"Tact, B, Th1"
CD273,"DCsub, mono, mac"
CD275,"B, DC, mono"
CD277,"T, B, NK, mono, DC, endoth"
CD278,"Tact, Th2"
CD279,"Tact, Bact"
CD282,"mono, neutrophil, mac"
CD283,DCmo
CD289,DCp
CD294,"Th2, eosinophils, basophils"
CD297,monoact
CD300C,"mono, neutrophil, Bsub, Tsub"
CD301,DCpre
CD303,DCp
CD304,"Treg, DC"
CD305,"NK, B, T, mono"
CD307,Bsub
CD312,"mono, mac, DCmo"
CD314,"NK, TC, Tnk"
CD315,"Bsub, monoact"
CD316,"B, T"
CD317,"B, T, NK, mono, DC"
CD319,"T, B, DCsub, NK"
CD320,DCfol
CDW329,"neutrophil, mono"
CD335,NK
CD336,NK
CD337,NK
